sku,fetch_date,price,carat,cut,color,clarity,depth,tableth,girdle,symmetry,polish,culet,fluorescence,length,width,height,lnwdthratio,shape,pricePerCarat,certLab,certPresent
LD02676830,11/07/2012,2526,0.6,Very Good,G,VS1,63.8,59,Slightly Thick to Thick,Very Good,Excellent,None,None,5.26,5.3,3.37,1.01,RD,4210,GIA,"true"
LD02728518,11/08/2012,797,0.4,Very Good,D,SI1,61.1,60,Slightly Thick to Thick,Good,Good,None,None,4.7,4.71,2.87,1,RD,1993,GIA,"true"
LD02736805,18/08/2012,570,0.3,Ideal,D,SI2,61.6,56,Medium to Slightly Thick,Excellent,Excellent,None,None,4.3,4.33,2.66,1.01,RD,1900,GIA,"true"
LD02715251,04/08/2012,890,0.4,Ideal,G,VS2,62.4,56,Thin to Slightly Thick,Excellent,Excellent,None,None,4.7,4.72,2.94,1,RD,2225,GIA,"true"
LD02645085,10/07/2012,1283,0.4,Ideal,E,VVS1,60.4,58,Thin to Medium,Excellent,Excellent,None,Faint,4.78,4.8,2.89,1,RD,3208,GIA,"true"
LD02767562,01/09/2012,6238,1.21,Fair,E,SI2,72.6,66,Very Thin to Very Thick,Very Good,Very Good,None,None,6.02,5.72,4.15,1.05,CU,5155,GIA,"true"
LD02667176,05/07/2012,11110,1.52,Ideal,H,SI1,62.9,55,Thin to Slightly Thick,Excellent,Excellent,None,Very Strong,7.34,7.32,4.61,1,RD,7309,GIA,"true"
LD02750057,24/08/2012,2621,0.58,Ideal,D,VS1,62.7,57,Medium to Medium,Excellent,Excellent,Pointed,Faint,5.31,5.34,3.34,1.01,RD,4519,GIA,"false"
LD02698858,24/07/2012,6338,1.2,Very Good,H,SI2,63.1,60,Slightly Thick to Thick,Excellent,Very Good,None,None,6.7,6.67,4.21,1,RD,5282,GIA,"true"
LD02752605,27/08/2012,13101,1.21,Ideal,F,VVS2,61.5,58,Medium to Slightly Thick,Excellent,Excellent,None,None,6.84,6.87,4.22,1,RD,10827,GIA,"true"
LD02702335,27/07/2012,2061,0.52,Ideal,G,VVS2,60.5,60,Medium to Slightly Thick,Very Good,Very Good,None,None,5.2,5.18,3.14,1,RD,3963,GIA,"true"
LD02656517,11/07/2012,530,0.33,Ideal,J,VVS1,62.2,54,Thin to Slightly Thick,Excellent,Excellent,None,None,4.45,4.47,2.77,1,RD,1606,GIA,"true"
