fetch_date,sku,price
02/07/2012,LD02590744,1227
02/07/2012,LD02596007,2184
02/07/2012,LD02652777,2614
02/07/2012,LD02622806,3338
02/07/2012,LD02655735,1753
02/07/2012,LD02656316,2220
02/07/2012,LD02659917,3009
02/07/2012,LD02595624,3048
02/07/2012,LD02622648,3227
02/07/2012,LD02662037,4204
02/07/2012,LD02661890,1817
02/07/2012,LD02653055,2035
02/07/2012,LD02653496,2070
02/07/2012,LD02652867,2407
02/07/2012,LD02661644,2426
02/07/2012,LD02660003,2467
02/07/2012,LD02655632,2638
02/07/2012,LD02661351,2682
02/07/2012,LD02656237,2734
02/07/2012,LD02659668,2963
02/07/2012,LD02659998,2969
02/07/2012,LD02659857,3033
02/07/2012,LD02655821,3198
02/07/2012,LD02599916,4109
02/07/2012,LD02661747,2829
02/07/2012,LD02653567,3414
02/07/2012,LD02652684,1952
02/07/2012,LD02661540,2423
02/07/2012,LD02662166,1323
02/07/2012,LD02661826,1376
02/07/2012,LD02660051,1775
02/07/2012,LD02653006,1944
02/07/2012,LD02652709,1317
02/07/2012,LD02659861,1452
02/07/2012,LD02661898,1761
02/07/2012,LD02660109,1888
02/07/2012,LD02661035,1955
02/07/2012,LD02650780,2124
02/07/2012,LD02652597,2223
02/07/2012,LD02652785,2442
02/07/2012,LD02613186,2530
02/07/2012,LD02582500,2710
02/07/2012,LD02661291,2893
02/07/2012,LD02653360,2976
02/07/2012,LD02640375,3098
02/07/2012,LD02658799,3265
02/07/2012,LD02659800,1773
02/07/2012,LD02660004,2699
02/07/2012,LD02653313,1895
02/07/2012,LD02659802,2051
02/07/2012,LD02661236,2637
02/07/2012,LD02660488,1565
02/07/2012,LD02653282,2294
02/07/2012,LD02653494,2549
02/07/2012,LD02660478,1468
02/07/2012,LD02659755,1567
02/07/2012,LD02653646,2066
02/07/2012,LD02660694,2067
02/07/2012,LD02627461,2149
02/07/2012,LD02658806,2719
02/07/2012,LD02639403,1564
02/07/2012,LD02659664,1745
02/07/2012,LD02660689,2183
02/07/2012,LD02659894,2338
02/07/2012,LD02653123,2820
02/07/2012,LD02652644,1027
02/07/2012,LD02635342,1397
02/07/2012,LD02655803,1414
02/07/2012,LD02660499,1475
02/07/2012,LD02655522,1586
02/07/2012,LD02661107,1586
02/07/2012,LD02650777,1590
02/07/2012,LD02660891,2144
02/07/2012,LD02633616,1407
02/07/2012,LD02635303,1518
02/07/2012,LD02661697,1556
02/07/2012,LD02660124,2023
02/07/2012,LD02660742,2277
02/07/2012,LD02653114,2632
02/07/2012,LD02660649,886
02/07/2012,LD02652773,964
02/07/2012,LD02618235,1039
02/07/2012,LD02658700,1056
02/07/2012,LD02661568,1101
02/07/2012,LD02662285,1135
02/07/2012,LD02660664,1150
02/07/2012,LD02655723,1196
02/07/2012,LD02631480,1254
02/07/2012,LD02661600,1257
02/07/2012,LD02652846,1294
02/07/2012,LD02659912,1311
02/07/2012,LD02660728,1322
