date,sku,price
25/06/2012,LD02599002,1667
25/06/2012,LD02628875,1675
25/06/2012,LD02602896,1677
25/06/2012,LD02603290,1683
25/06/2012,LD02618610,1683
25/06/2012,LD02622802,1690
25/06/2012,LD02638745,1701
25/06/2012,LD02625477,1715
25/06/2012,LD02604301,1726
25/06/2012,LD02595837,1738
25/06/2012,LD02620582,1749
25/06/2012,LD02600387,1775
25/06/2012,LD02602654,1778
25/06/2012,LD02601492,1789
25/06/2012,LD02632633,1792
25/06/2012,LD02638330,1808
25/06/2012,LD02605609,1833
25/06/2012,LD02633564,1841
25/06/2012,LD02634378,1866
25/06/2012,LD02595925,1898
25/06/2012,LD02605454,1931
25/06/2012,LD02634838,1963
25/06/2012,LD02598529,1976
25/06/2012,LD02638582,1997
25/06/2012,LD02619157,2007
25/06/2012,LD02601695,2008
25/06/2012,LD02589247,2010
25/06/2012,LD02599493,2010
25/06/2012,LD02638930,2023
25/06/2012,LD02631977,2047
25/06/2012,LD02603293,2055
25/06/2012,LD02598561,2076
25/06/2012,LD02604225,2076
25/06/2012,LD02597591,2086
25/06/2012,LD02599727,2086
25/06/2012,LD02603427,2086
25/06/2012,LD02602320,2106
25/06/2012,LD02622208,2154
25/06/2012,LD02634758,2154
25/06/2012,LD02610292,2179
25/06/2012,LD02602395,2220
25/06/2012,LD02600616,2240
25/06/2012,LD02591255,2253
25/06/2012,LD02638467,2293
25/06/2012,LD02597775,2366
25/06/2012,LD02638563,2381
25/06/2012,LD02603423,2415
25/06/2012,LD02604399,2415
25/06/2012,LD02603074,2535
25/06/2012,LD02623262,1096
25/06/2012,LD02613574,677
25/06/2012,LD02635736,1020
25/06/2012,LD02595719,1350
25/06/2012,LD02635694,1663
25/06/2012,LD02613363,744
25/06/2012,LD02604981,847
25/06/2012,LD02600385,1094
25/06/2012,LD02604248,1184
25/06/2012,LD02602317,1189
25/06/2012,LD02612179,1194
25/06/2012,LD02636154,1200
25/06/2012,LD02597666,1278
25/06/2012,LD02631808,1288
25/06/2012,LD02601805,1361
25/06/2012,LD02635903,1435
25/06/2012,LD02604366,1504
25/06/2012,LD02597873,1664
25/06/2012,LD02600741,1664
25/06/2012,LD02604516,1664
25/06/2012,LD02599798,1792
25/06/2012,LD02595690,960
25/06/2012,LD02622540,977
25/06/2012,LD02596601,1303
25/06/2012,LD02631203,1477
25/06/2012,LD02631271,1593
25/06/2012,LD02634374,1731
25/06/2012,LD02619099,2355
25/06/2012,LD02637966,701
25/06/2012,LD02591813,1149
25/06/2012,LD02593063,1170
25/06/2012,LD02623012,837
25/06/2012,LD02601272,919
25/06/2012,LD02635886,997
25/06/2012,LD02623786,2101
25/06/2012,LD02635889,744
25/06/2012,LD02589022,794
